event_id_cnty,bug_trigger,class,notes
FRA11598,pension,labor rights,"On 14 September 2021, around 20 health workers demonstrated in front of the regional health agency in Rouen. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11600,pension,labor rights,"On 14 September 2021, a small number of health workers demonstrated in Strasbourg. They denounced the suspension of coronavirus unvaccinated hospital personnel."
FRA11604,pension,labor rights,"Around 14 September 2021 (as reported), health workers and patients held a protest sit-in at Cahors to denounce the suspension of a doctor at the Centre of Treatment and Prevention of Addictions."
FRA11606,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around 40 health workers and hospital workers participated to a protest sit-in in Perigueux. They denounced the suspension of the unvaccinated hospitals personnel."
FRA11607,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around 100 persons, including health workers demonstrated in Avranches. They denounced the suspension of the unvaccinated hospitals personnel."
FRA11608,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around 50 persons, including health workers demonstrated in Carcassonne. They denounced the suspension of the unvaccinated hospitals personnel."
FRA11609,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, 200 persons, including health workers demonstrated in front of the Ministry of Health in Paris. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11610,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health and Sud-Sante, 200 persons, including health workers demonstrated in front of the regional health agency in Toulouse. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11611,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, 200 persons, including health workers demonstrated in front of the regional health agency in Lyon. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11616,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, a dozen of hospital workers occupied a wing of the hospital in L'Aigle. They denounced the suspension of coronavirus unvaccinated colleagues by the direction."
FRA11618,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around a 100 persons, including health workers demonstrated in Saint-Brieuc. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11620,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around a 100 persons, including health workers demonstrated in Vannes. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11621,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, health workers demonstrated in Tarbes. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11622,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around 60 people, including health workers demonstrated in Trevenans. They denounced the suspension of coronavirus unvaccinated hospital personnel."
FRA11623,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, 200 persons, including health workers demonstrated in front of the prefecture of Marseille. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11624,pension,labor rights,"On 14 September 2021, answering the call of the CGT-Health, aorund 100 persons, including health workers demonstrated in Saint-Brieuc. They denounced the suspension of coronavirus unvaccinated hospital personnel."
FRA11626,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around 40 people demonstrated in Mont-de-Marsan. They denounced the suspension of coronavirus unvaccinated hospital personnel."
FRA11627,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, health workers demonstrated in Vienne. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11628,pension,labor rights,"On 14 September 2021, at the call of the health section of union groups CGT, FSU, FO and Solidaires 44, 150 health workers participated to a protest sit-in in Nantes to denounce the suspension of unvaccinated colleagues by 15 September."
FRA11680,pension,labor rights,"On 14 September 2021, around 60 persons demonstrated in front of the regional hospitalisation agency in Digne-les-Bains. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11681,pension,labor rights,"On 14 September 2021, up to 80 persons demonstrated in front of the prefecture of Bourg-en-Bresse. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
MCO8,pension,labor rights,"On 14 September 2021, hospital workers and health workers participated to a protest sit-in in Monaco to denounce the suspension of unvaccinated colleagues."
FRA11596,pension,labor rights,"On 14 September 2021, around 100 persons, including health workers formed a human chain in Chambery. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11613,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, dozens of persons, including health workers demonstrated in front of the hospital of Rennes. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11605,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, health workers participated to a protest sit-in in Avignon to denounce the suspension of unvaccinated colleagues."
FRA11577,pension,labor rights,"On 14 September 2021, under the banner of the CGT, more than 50 hospital workers demonstrated at Thuir. They denounced the suspension of coronavirus unvaccinated hospital personnel."
FRA11619,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, around a 100 persons, including health workers demonstrated in Morlaix. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11612,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health, 80 persons, including health workers demonstrated in Orleans. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11679,pension,labor rights,"On 14 September 2021, 80 persons demonstrated in front of the hospital of Narbonne. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
FRA11625,pension,labor rights,"On 14 September 2021, under the banner of the CGT-Health and Sud Sante, around 100 persons, including health workers demonstrated in front of the regional health agency in Clermont-Ferrand. They denounced the suspension of coronavirus unvaccinated hospital and retirement homes personnel."
GRC2978,pension,labor rights,"On 21 September 2021, health workers supported by POEDIN rallied in central Thessaloniki to protest against the suspension of unvaccinated for the coronavirus frontline health workers due to the lack of health care staff in Thessaloniki state hospitals."
GRC2979,pension,labor rights,"On 22 September 2021, health workers holding a banner demanding the resignation of the Prime Minister rallied outside an EKAV ambulance service building in Pylaia to protest against the suspension of their colleagues, who were unvaccinated for the coronavirus, during a visit by the new health minister. The protesters booed the minister and started hitting the passing car, while shouting slogans against the government."
FRA11721,pension,labor rights,"On 23 September 2021, up to 80 persons, including health workers and workers in hospitals, demonstrated in front of the hospital of Revel. They denounced the suspension of 30 coronavirus unvaccinated colleagues."
FRA11746,pension,labor rights,"On 23 September 2021, workers, associations and citizens gathered in Ploumagoar. They denounced the suspension of two workers at a shelter house for failing to provide their coronavirus health pass."
ITA11255,pension,labor rights,"On 24 September 2021, health workers gathered, at the call of CISL, outside the Hospital of Borgo Valsugana (Trento, Trentino-Alto Adige) to protest against alleged understaffing following the suspension of colleagues who refused to vaccinate against coronavirus and demand answers from provincial health authorities."
ITA11257,pension,labor rights,"On 24 September 2021, health workers gathered, at the call of Nursing Up and the health section of UIL FPL, outside the Trento Province Health Agency headquarters in Trento (Trento, Trentino-Alto Adige) to protest against alleged understaffing following the suspension of colleagues who refused to vaccinate against coronavirus and demand answers from provincial health authorities."
FRA12000,pension,labor rights,"On 29 September 2021, the police intervened to evacuate 15 persons from a Collectif of Yellow Vests, teachers and health workers, who entered the hospital Dieu de Toulouse in Toulouse. They denounced coronavirus-related measures adopted by the hospital with the suspension of unvaccinated health workers while no violence was reported."
CYP835,pension,labor rights,"On 30 September 2021, teachers at the English School in Nicosia organized by the English School Staff Union (ESSA) participated in an impromptu work stoppage and protest outside the school over the suspension of their union chair after she allegedly used the school system to send unauthorized correspondence to parents. The teachers were also supported by teachers' union OELMEK, members of SEK and PEO, students, and members of the House education committee."
FRA11986,pension,labor rights,"On 1 October 2021, around 100 health workers demonstrated in Mulhouse. They denounced coronavirus-related measures adopted by the hospital with the suspension of unvaccinated health workers."
ITA11306,pension,labor rights,"On 1 October 2021, between 2,000 and 3,000 hunters, including amateurs, from across the Lombardia region gathered outside the Lombardia Region headquarters (Palazzo Lombardia) in Milano - Municipio 9 (Milano, Lombardia) to protest against the suspension of hunting activities until 7 October 2021 recently ordered by the Administrative Court of Lombardia and denounce the alleged lack of support of the regional government in the matter."
FRA11985,pension,labor rights,"On 1 October 2021, around 30 health workers demonstrated in front of the hopsital of Guingamp. They denounced coronavirus-related measures adopted by the hospital with the suspension of unvaccinated health workers while no violence was reported."
DEU8304,pension,labor rights,"On 4 October 2021, about 50 people gathered outside the Ulm Regional Court in Ulm (Ulm, Baden-Wurttemberg) to protest against the suspension of a sentence for a man accused of committing child abuse multiple times."
GRC3030,pension,labor rights,"On 8 October 2021, hundreds of health workers supported by POEDIN rallied in Athens - Central Athens outside the Council of State, the Supreme Administrative Court of Greece, holding banners and shouting slogans to protest against mandatory coronavirus vaccination and the suspension of unvaccinated frontline health workers. The president of POEDIN burned documents notifying health workers of their suspension from work."
ITA11694,pension,labor rights,"On 14 October 2021, in the morning, health workers reported as 'No Vax' gathered outside Maggiore Hospital in Parma (Parma, Emilia-Romagna) to protest against their suspension for refusing to comply with the obligation to vaccinate against coronavirus."
ITA21715,pension,labor rights,"On 19 October 2021, at the call of the 'SOS Sanita Barbagia Mandrolisai Committee', dozens of people, health workers, and citizens took to the streets of Tonara (Sardegna) to protest against the current state of the public health system, the suspension of the Mental Health Center of Tonara, the lack of general practitioners, and the closure of many departments at the San Camillo hospital."
FRA12605,pension,labor rights,"On 21 October 2021, around 50 persons, including a Yellow Vests collective, demonstrated in Dolus-le-Sec to denounce the suspension of coronavirus unvaccinated health workers."
ITA12034,pension,labor rights,"On 22 October 2021, in the afternoon, a few people gathered outside the headquarters of the Order of Pharmacists, in Divisione Julia street, in Udine (Udine, Friuli-Venezia Giulia), to protest against the alleged suspension of a pharmacist following his protest on social media about the state of local pharmacies, facing a surge in coronavirus testing requests after the government extended coronavirus 'green pass' restrictions to all workplaces on 15 October 2021."
ITA12107,pension,labor rights,"On 28 October 2021, in the morning, health workers, including No Vax supporters and with the support of some unions, among them FISI, gathered outside the AUSL offices in Parma (Parma, Emilia-Romagna) to protest against the suspension of some of their colleagues for refusing to vaccinate against coronavirus and claim their 'constitutional right' to work."
ITA12105,pension,labor rights,"On 28 October 2021, 200 local 'No Vax' supporters spontaneously gathered outside the offices of the Order of Doctors in Torino (Torino, Piemonte) to protest against the suspension of 279 health professions for refusing to vaccinate against coronavirus. Verbal violence towards RAI journalists covering the event was reported."
FRA12716,pension,labor rights,"On 28 October 2021, around 100 persons demonstrated in Besancon to denounce the suspension of coronavirus unvaccinated health workers."
GRC3111,pension,labor rights,"On 3 November 2021, a day after the government imposed more restrictions on unvaccinated Greeks amid a spike in infections, hospitalizations and deaths, about 300 health workers chanted slogans and held up banners and the Greek flag outside parliament in Athens - Central Athens opposing mandatory coronavirus vaccination for frontline health care staff and the suspension from work for those who refuse to get the shots."
FRA12874,pension,labor rights,"On 3 November 2021, dozens of employees of the territorial public office demonstrated in Bagnolet at the call of the CGT, SUD, UNSA and FSU unions. They denounced the suspension of a purchasing power adjustment bonus."
ITA12300,pension,labor rights,"Around 4 November 2021 (as reported), in the morning, social and health workers (OSS), radiology technicians, nurses and patients of a suspended doctor gathered outside the ULS3 health agency offices in Federico Tosatto street in Mestre (Venezia, Veneto) to protest against the suspension of health workers not vaccinated against coronavirus and demand that a doctor is readmitted into the health facility's services."
ESP7422,pension,labor rights,"On 4 November 2021, in the evening, at the call of local residents, hundreds of people gathered in the central square of Bergara (Pais Vasco) to protest against the construction of a waste treatment plant in the Larramendi industrial area. Protesters denounced the potential environmental risks of the project and called for its suspension. They also demanded an extension of the public consultation period on the environmental impact report."
FRA13004,pension,labor rights,"On 6 November 2021, around 20 Yellow Vests and health workers gathered at the Saint-Pry roundabout in Bethune. They called for social and fiscal justice and denounced the suspension of health workers who refused to get the coronavirus-related vaccine."
ITA12340,pension,labor rights,"On 10 November 2021, Parking Evolution parking-operating workers, as well as FLAICA CUB union branch delegates, gathered for several hours in the parking lot of the hospital of Pozzuoli (Napoli, Campania) to protest against a change in their contracts and denounce 'discriminatory behaviors' against workers and the suspension of one of them."
FRA13136,pension,labor rights,"On 15 November 2021, around 20 people, including nurses, gathered outside the hospital in Vesoul to protest against the suspension of unvaccinated caregivers."
FRA13247,pension,labor rights,"On 18 November 2021, around 40 persons demonstrated in front of the hospital of Mauleon-Licharre to denounce the suspension of coronavirus unvaccinated health workers."
FRA13145,pension,labor rights,"On 19 November 2021, health workers demonstrated in front of the tribunal of Mulhouse to denounce the suspension of coronavirus unvaccinated health workers."
ITA12829,pension,labor rights,"On 26 November 2021, in the evening, about 1,000 people, including local municipal officials, took to the streets of Santa Lucia di Piave (Treviso, Veneto) to protest against the symbolic suspension of a local physician for holding 'No Vax' positions regarding vaccination against coronavirus."
FRA13466,pension,labor rights,"On 27 November 2021, around 100 motorbike drivers demonstrated in Perigueux at the call of FFMC. They called for the removal, rather than the current suspension, of the bill on the compulsory technical check of motorbike."
GRC3175,pension,labor rights,"On 28 November 2021, unvaccinated health workers marched in Thessaloniki against mandatory coronavirus vaccination and their suspension from their jobs."
GRC3178,pension,labor rights,"On 1 December 2021, health workers supported by POEDIN rallied in central Thessaloniki during a 24-hour protest-strike against the suspension of health workers unvaccinated against the coronavirus, and demanded the hiring of permanent staff and to be included in the list of hazardous professions."
FRA13483,pension,labor rights,"On 1 December 2021, around 20 health workers of the Mauleon hospital demonstrated in Oloron. They denounced their suspension for refusing to get the coronavirus-related vaccine."
FRA13547,pension,labor rights,"On 1 December 2021, around 12 employees of the hospital of Trevenans demonstrated at their working place at the call of the CGT union. They denounced the suspension of employees who refused to get the coronavirus-related vaccine."
FRA13612,pension,labor rights,"On 7 December 2021, with the support of the CGT, UDAF workers gathered in front of the company siege in Tulle to denounce the suspension of a colleague for her absences."
ITA13045,pension,labor rights,"On 19 December 2021, between 40 and 50 No Vax health workers, who have been suspended for refusing the coronavirus vaccinations, burst into the Pineta Palace hotel in Rome - Primavalle (Roma, Lazio), where the Medical Association meeting was taking place. They demonstrated against their suspension. There was shouting and some pushing. The assembly was suspended and the police arrived to the location to restore order."
GRC3224,pension,labor rights,"On 21 December 2021, health workers, who were not vaccinated against the coronavirus and were suspended from their jobs, rallied in central Thessaloniki to protest their suspension and handed fliers to passers-by."
FRA13859,pension,labor rights,"On 22 December 2021, around 15 persons, including a SUD-health unionist, demonstrated in front of the hospital in Albi to denounce the suspension of unvaccinated health workers."
BGR2212,pension,labor rights,"On 29 December 2021, around 150 residents of Rakitovo protested against the suspension of the water supply in the city, claiming that they had to rely on local fountains for basic needs."
FRA13915,pension,labor rights,"On 31 December 2021, at the call of SUD-health, health workers gathered in front of the hospital North in Marseille to denounce the suspension of a compensation bonus they were receiving as part of their emoluments."
ITA13433,pension,labor rights,"On 13 January 2022, students from Brera and other high schools and UdS affiliates gathered outside Brera high school in Milano - Municipio 4 (Milano, Lombardia) to protest against the suspension of some of the school's students (61) after they took part in a spontaneous protest to denounce low temperatures in their classrooms on 13 December 2021."
FRA14441,pension,labor rights,"On 19 January 2022, professionals of the medico-social sector supported by the CGT, gathered in Thiais to denounce the suspension of a worker by the direction for publishing a book with the pictures of patients without their consent."
ITA13660,pension,labor rights,"On 26 January 2022, in the morning, students, including USB and OSA affiliates, gathered outside the Argan high school in Rome - Don Bosco (Roma, Lazio) to protest against the suspension of 60 students after they had occupied the school premises to denounce the government's policy regarding schools and to demand more security for students alternating school and work (PCTO program) and carrying out internships after an 18-year-old student from Udine died of a work accident while doing an internship in Lauzacco on 21 January 2022."
FRA14621,pension,labor rights,"On 26 January 2022, at the call of the FO and CGT unions, around 30 health workers demonstrated at the hospital in Ales to denounce the suspension or dismissal of three colleagues by the direction."
GRC3281,pension,labor rights,"On 27 January 2022, health workers protested in central Thessaloniki against mandatory coronavirus vaccination and the suspension of unvaccinated health care workers. They were holding a banner and distributing fliers."
ITA13738,pension,labor rights,"On 2 February 2022, SIG plastic-processing workers took part in a two-hour strike and picket outside their company's gates in Gorla Minore (Varese, Lombardia) to protest against the non-renewal of a collective bargaining agreement within the company and the alleged suspension without pay of a colleague suffering from cancer. A FILCTEM CGIL union branch delegates took part in the picket."
ITA13735,pension,labor rights,"On 3 February 2022, SIG plastic-processing workers took part in a two-hour strike and picket outside their company's gates in Gorla Minore (Varese, Lombardia) to protest against the non-renewal of a collective bargaining agreement within the company and the alleged suspension without pay of a colleague suffering from cancer. Workers had been staging a two-hour strike and picket daily since 26 January 2022."
HUN370,pension,labor rights,"On 7 February 2022, around 80 drivers, including truck drivers, protested at the M3 junction near Mogyorod, against the global elite, demanding the suspension of technocrats in government, the suspension of coronavirus vaccination passes, against 5G introduction, against fiscal checks of cash money, among others."
ITA13895,pension,labor rights,"On 10 February 2022, in the morning, families of children attending local schools and school lunch service workers gathered outside the town hall of Carovigno (Brindisi, Puglia) to protest against the suspension of school lunch services."
ITA14215,pension,labor rights,"On 20 February 2022, people gathered in Favignana (Trapani, Sicilia) to protest against the placement of a new military radar. The demonstrators demanded the placement's suspension and a public meeting on the radar's effect on their health and the environment. The Mayor and a council member took part in the demonstration."
POL4157,pension,labor rights,"On 4 March 2022, activists gathered for a rally in Warsaw, demanding suspension of importing coal from the Russian-occupied regions of Ukraine, as a way to condemn the Russian invasion of Ukraine."
ITA15128,pension,labor rights,"On 17 March 2022, in the afternoon, Rome-Lido railway users and commuters occupied Ostiense street with pieces of recently-cut tree logs in Vitinia (Roma, Lazio) to protest against the temporary disruption of the Rome-Lido railway and the resultant suspension of its services. The occupation was lifted after traffic was restored on the railway line at 14:30."
BIH811,pension,labor rights,"On 28 March 2022, workers of the Radio Television of Bosnia and Herzegovina (BHRT) protested in Sarajevo-Novi Grad, demanding the urgent unblocking of their account and the amending of the law on the radio-television system. Due to blocked accounts, BHRT is threatened with permanent suspension of their work."
FRA17221,pension,labor rights,"On 2 April 2022, around 200 persons, including the right wing mayor of Munster with no political label and health workers, demonstrated in Colmar. They denounced the suspension of health workers who refused to get the coronavirus-related vaccine."
POL4397,pension,labor rights,"On 27 April 2022, the Left Together party protested against the suspension of the Olsztyn civic budget. The Polish Sejm adopted an act that allows local governments to suspend civic budgets for the next two years, and the Olsztyn authorities have decided to use this possibility, which will negatively affected citizen participation in the area."
ITA15721,pension,labor rights,"On 2 May 2022, around 200 former Ilva workers took to the streets in Genova at the call of Fiom CGIL, Fim CISL, and Uilm UIL to protest against the suspension letter sent to a worker who was blamed for an incident that happened on 12 April."
ITA15961,pension,labor rights,"On 16 May 2022, a few dozen people gathered in La Spezia to contest the Minister of Health (AU) in town to support the mayoral candidate. The protesters demonstrated against the coronavirus Green Pass restrictions, the vaccination campaign, and teachers' suspensions."
BIH840,pension,labor rights,"On 23 May 2022, citizens and tourism workers gathered in Pocitelj to voice their discontent with the suspension of traffic on the Pocitelj access road due to the construction of the '5C freeway' bridge in Pocitelj. Tourism workers appealed that such actions were going to destroy their tourist season."
MNE1039,pension,labor rights,"On 7 June 2022, Bistrica residents engaged in a road-blocking with their bodies in Bijelo Polje as a result of the suspension of public works on the reconstruction of the road Bijelo Polje - Bistrica. The road was supposed to be completed by the end of last year. Those gathered demanded urgent continuation of works."
FRA17609,pension,labor rights,"On 7 June 2022, around 100 health workers, CGT delegates and users of the hospital interrupted a meeting and demonstrated at the hospital of Montauban. They called for the reintegration of health workers threatened with suspension for not performing the full vaccination cycle against coronavirus."
FRA17563,pension,labor rights,"On 8 June 2022, at the call of the 'Live and stay in the country!' collective, which includes unions and cultural and political associations, around 300 people demonstrated in Bayonne to denounce the suspension of a local regulation limiting the expansion of tourist apartments."
MNE1040,pension,labor rights,"On 9 June 2022, Bistrica residents engaged in a road-blocking with their bodies in Bijelo Polje as a result of the suspension of public works on the reconstruction of the road Bijelo Polje - Bistrica. The road was supposed to be completed by the end of last year. Those gathered demanded urgent continuation of works."
SWE2765,pension,labor rights,"On 11 June 2022, local residents, including students, demonstrated in Angered, Gothenburg (Goteborg) to oppose the suspension of subsidies to one of the local schools."
SWE2975,pension,labor rights,"On 12 June 2022, around 50 people, mostly members of the Russian community, demonstrated in front of the Russian Consulate in Gothenburg (Goteborg) on the occasion of the Russia Day and demanding the resignation of Vladimir Putin, the immediate suspension of military action in Ukraine, and the release of political prisoners, including Alexei Navalny."
FRA17877,pension,labor rights,"On 25 June 2022, members of the yellow vests movement demonstrated at the Tenon hospital in Paris. They denounced the suspension of 15,000 health workers who refused to take the coronavirus-related vaccine."
FRA17900,pension,labor rights,"On 27 June 2022, employees of the Viapost branch of the La Poste company demonstrated in Fontenoy-sur-Moselle at the call of the CGT union. They denounced the sudden suspension of the contract between Viapost and the Colissimo branch of La Poste."
FRA17962,pension,labor rights,"On 30 June 2022, at the call of unions (SUD, CGT, SNES-FSU and CNT), teachers demonstrated in Creteil to denounce the suspension of a teacher for reading a poem criticizing a program promoting secularism he considered to be discriminatory."
ESP10936,pension,labor rights,"On 6 July 2022, citizens took part in the celebration of Pride in Madrid - Centro (Madrid), in Pedro Zerolo square, demanding a determined and constant fight against hate crimes and aggressions against the collective. During the celebrations, many citizens insulted Almeida, the mayor, and accused him of boycotting Pride after the suspension of some concerts."
ROU1948,pension,labor rights,"On 4 August 2022, around 50 people protested in Ploiesti, condemning the suspension of the hot water supply after 1 August 2022, demanding urgent measures."
ITA16604,pension,labor rights,"On 4 August 2022, people gathered in front of the townhall in Bacoli (Napoli, Campania) to call for the suspension of the ZTL (limited traffic zone), in 6 areas of the city."
ESP11219,pension,labor rights,"On 30 August 2022, over 300 citizens and representatives of IU held a protest at the railway station in Hellin (Albacete, Castilla-La Mancha) against the suspension of the rail connection between Albacete and Cartagena. The protest was called by the Citizen Platform for the Hellin and Comarca train."
FRA18684,pension,labor rights,"On 21 September 2022, between 30 and 40 teachers gathered for a protest, as a part of their strike action, organized by the interunion South Education-CGT-FO-Snes-FSU at Jacques-Bainville place in Nanterre, against the suspension of a high school math teacher and 'union repression,' and other union-related issues."
CYP1308,pension,labor rights,"On 13 October 2022, medical staff rallied outside their hospital in Nicosia during a 2-hour work stoppage to protest against the suspension of 2 of their doctors."
CYP1366,pension,labor rights,"On 18 November 2022, dozens of students at a technical school in Nicosia rallied outside the school on the sidewalk of a busy avenue, holding placards with slogans about the principal bullying students and calling for him to resign. They protested that he handed out suspensions for no reason. Police observed the rally as a precaution."
ITA17871,pension,labor rights,"On 19 November 2022, 250 people, including Lega, FdI and FI local and regional representatives, held a protest in front of the townhall at Palazzo Marino in Milano - Municipio 1 (Milano, Lombardia) to demand the suspension of the traffic-limited Area B for polluting vehicles. The mayors and vice-mayors (right-wing coalition) of nearby cities Sesto San Giovanni, Bresso and Cormano, as well as demonstrators affiliated with 'Federtraslochi' and 'Federazione Italiana Ristoranti', were also present."
ITA18152,pension,labor rights,"On 28 December 2022, around 100 volunteers, health workers and 15 ambulances staged a demonstration in Campobasso (Campobasso, Molise) to protest against the possible suspension of the emergency transport service."
ESP12255,pension,labor rights,"On 22 January 2023, over 7,000 citizens and shopkeepers held a protest in Murcia (Murcia) against the mobility plans of the Murcia City Council and demand their suspension. Representatives of PP and Vox attended the protest."
FIN894,pension,labor rights,"On 23 January 2023, students demonstrated in Turku to oppose the termination or temporary suspension of professor positions at Ethnology program in the University of Turku."
ROU2050,pension,labor rights,"On 25 January 2023, around 20 Moldovan journalists, joined by Romanian and Ukrainian journalists protested outside the Free Press House in Bucharest, trying to raise awareness about the suspension of the licenses of certain TV channels in Moldova over disinformation."
BGR2888,pension,labor rights,"On 11 February 2023, supporters of journalist Petar Volgin protested in front of the Bulgarian National Radio in Sofia, who is facing criticism and possible suspension due to his pro-Russian views which he regularly promotes on his radio program."
FRA22419,pension,labor rights,"On 15 February 2023, Kurdish activists gathered for a protest at the European Parliament in Strasbourg, to call for the release of PKK founder Abdullah Ocalan. The group interrupted a meeting leading to a suspension of the session and the evacuation of the deputies."
ESP12448,pension,labor rights,"On 23 February 2023, dozens of transport workers and users, called by the CIG, UGT and CCOO, held a protest in A Coruna (Galicia) against the suspension of the collective agreement for road passenger transport in the province of A Coruna."
ITA19306,pension,labor rights,"Around 13 March 2023 (as reported), at the call of CGIL FILCAMS, Ast cleaning workers gathered outside their company's headquarters in Caduti senza Croce street in Palermo (Palermo, Sicilia) to protest against the suspension of the service they provide with no possibilities of granting further extensions beyond 30 March 2023."
ESP12769,pension,labor rights,"On 14 March 2023, citizens held a protest and forced the suspension of an Endesa information event in Figueres (Girona, Cataluna) to show their rejection against the Galatea wind farm in La Jonquera."
ESP12927,pension,labor rights,"On 25 March 2023, people, called by the United Neighborhoods for Sustainable Mobility, held a protest march from Alameda de Colon to Avenida de la Libertad in Murcia (Murcia) against the mobility plans of the Murcia City Council and demand their suspension."
ITA19642,pension,labor rights,"On 20 April 2023, journalists rallied outside the headquarters of the Lombardy Region in Milano - Municipio 2 (Lombardia, Milano) to protest against the suspension of the Areu real-time news portal. Two regional councilors, representatives of the Lombard Association of Journalists and of the CityNews Editorial Committee were present."
ESP13214,pension,labor rights,"On 27 April 2023, over 200 firefighters held a protest in Aranda del Duero (Burgos, Castilla y Leon) to support a colleague whom the City Council intends to sanction with seven months suspension of employment and salary."
FRA25699,pension,labor rights,"On 3 May 2023, between 200 and 300 people gathered in front of the PSG headquarters in Boulogne-Billancourt to denounce the football team's management following their recent loss of a game, and the suspension of Lionel Messi following his unauthorized trip to Saudi Arabia."
ITA20000,pension,labor rights,"On 19 May 2023, at the call of CGIL FP, 120 precarious researchers working respectively at two city's research institutes (Istituto Oncologico Veneto and Istituto Zooprofilattico) staged a protest in Padua (Padova, Veneto) against the suspension of the government's amendment stabilizing precarious workers."
ITA20253,pension,labor rights,"On 20 June 2023, at the call of CGIL FP and CGIL SPI, people, including the mayor (center-left) and a municipal councilor, gathered in the courtyard of the local hospital in Ostuni (Brindisi, Puglia) to protest against the suspension of admissions at the general surgery department due to staff shortage."
ITA20712,pension,labor rights,"On 31 August 2023, at the call of the committee 'Verona per la Liberta', people staged a picket at the Villa Monga Elderly Assistance Center in Verona (Veneto, Verona) to protest against the suspension of family visits implemented after some of the center's guests resulted positive to coronavirus."
ITA20892,pension,labor rights,"On 25 September 2023, striking Interpump workers gathered outside the company's plant in Sant'Ilario d'Enza (Reggio nell'Emilia, Emilia-Romagna) to protest against the suspension from work and pay received by a fellow worker who was accused of insubordination and punished for having raised his tone during a discussion with the company's manager on union-related issues. The demonstration was supported by CGIL and the company's RSU."
FRA28163,pension,labor rights,"On 11 October 2023, in the morning, around 20 people, including students, union and political organization members, gathered in front of the Edmond Perrier school in Tulle (Nouvelle-Aquitaine) in support of three students who were handed a suspension for participating in gatherings against their school principal in Tulle. The students and their parents planned to appeal the decision."
FRA28235,pension,labor rights,"On 14 October 2023, in the morning, nearly 400 people, including the mayor of Montoir-de-Bretagne (party unspecified), gathered in front of the town hall in Saint-Nazaire (Pays de la Loire), to demand the administrative suspension of the Yara nitrogen fertilizer plant in Montoir-de-Bretagne."
ITA21076,pension,labor rights,"On 16 October 2023, at the call of associations Mareamico and Marevivo, environmental activists and members of the Movimento Patto Per la Sicilia gathered on the provincial road 71 and marched towards the Drasi range in Punta Bianca in the municipality of Agrigento (Sicilia, Agrigento) to demand the immediate suspension and relocation of the military exercises taking place in the area, near a nature reserve."
HRV969,pension,labor rights,"On 30 October 2023, students protested in Zagreb against a professor's return under suspension for inappropriate behavior towards students. The protesters also demanded the dismissal of the current dean of the Academy of Dramatic Arts."
ITA21168,pension,labor rights,"On 1 November 2023, on the occasion of World Vegan Day, Animal Rebellion activists staged a protest at the entrance of several supermarkets in Trento (Trento, Trentino-Alto Adige) to demand a stop to subsidies on animal products and a transition to a plant-based food system. The demonstrators also demanded the removal of the 22% VAT on plant-based staples and called for the suspension of the opening and expansion of new slaughterhouses and farms."
