event_id_cnty,manual_label,manual_label_alt,predicted_class_students,notes
GRC6599,policies & politics,public services,public services,"On 21 May 2025, a large crowd participated in an event organized by the Initiative 'Tempe 28/2 Justice' in Patras, demanding justice for the victims of the rail disaster. The head of the 'Tempe 2023' Association of the Relatives of the Tempe Victims held a speech."
FRA16625,labor rights,,labor rights,"On 7 April 2022, at the call of 7 unions (CFDT, CGT, CFE-CGC, CFTC, FO, UNSA and SUD), around 50 workers at Altran company demonstrated in Nantes to call for an increase in their salaries."
FRA8316,labor rights,,labor rights,"On 27 April 2021, around 150 persons demonstrated in front of the Magna factory in Blanquefort at the call of unions. They denounced the convocation of three union representatives at risk of being dismissed."
DEU543,policies & politics,,policies & politics,"On 7 February 2020, between 400 and 700 people, including labour unions, local governance and church representatives, protested in Dusseldorf against the coalition of the AfD, the FDP and the CSU following the election of a FDP candidate as the Minister-President of Thuringia. Protesters accused the Landtag of election fraud."
BGR4268,public services,,public services,"On 23 April 2025, a year after the introduction of the new traffic rule around the National Palace of Culture in Sofia, residents the area protested again and demanded the return of the previous traffic organization, claiming the new traffic rules have make navigating the area increasingly difficult."
FRA26677,policies & politics,immigration,policies & politics,"On 25 June 2023, almost 300 people gathered in front of the town hall in Hautmont (Hauts-de-France) to demonstrate in support of the former head of the mosque suspected of radicalization and deported to Algeria on June 14."
ITA324,environment,,environment,"On 25 January 2020, people gathered by the Esino river near Ancona to protest against the excessive use of hydroelectric, which they said is damaging the rivers, and to demand better maintenance of Italian rivers in general."
DEU131,climate,,education,"On 13 January 2020, about 150 people, including FFF and students, protested in front of the Siemens office in Munchen against the company's decision to maintain its participation in a coal project by Adani in Australia."
ITA16400,labor rights,,policies & politics,"On 13 July 2022, street vendors protested in front of the city hall in Crotone (Crotone, Calabria) against the change of location for the monthly market."
POL2293,climate,,environment,"On 19 March 2021, activists affiliated with the FFF movement gathered for a picket in Nowy Sacz, demanding better protection of the climate."
DEU22845,housing,,housing,"On 15 October 2024, people gathered in front of the city hall in Duisburg (Nordrhein-Westfalen) to protest against poor living conditions and illegal housing practices in their area."
DEU14682,women rights,policies & politics,women rights,"On 11 February 2023, between 4,700 and 10,000 people, including the mayor (CDU), the Iranian community, and people from the Netherlands, demonstrated in Dusseldorf to call for support and solidarity with Iranian people, following the death of a 22-year-old Kurdish-Iranian woman in police custody on 16 September 2022. Demonstrators were against the Iranian government and chanted the slogan 'Women, life, freedom'."
CHE741,labor rights,,labor rights,"On 3 October 2023, at the call of EAG, people, including left-wing party affiliates, union delegates, and supporters, gathered outside Chateau Saint-Maire in Lausanne (Vaud) to demand the ratification of a minimum wage in the Vaud canton."
ITA12114,health care,women rights,health care,"On 25 October 2021, people gathered in Napoli at the call of Non Una di Meno to demand the recognition of vulvodynia, endometriosis, fibromyalgia, pudendal neuralgia and pelvic pain as chronic and disabling diseases."
BEL1054,public services,,public services,"On 9 March 2021, an unknown number of shopkeepers staged a protest near the Justitiepaleis in Brussels - Ville de Bruxelles against the new prohibition on parking on the hill leading to the Palace of Justice in the Marolles neighborhood, fearing this will lead to less customers."
DEU727,culture,labor rights,labor rights,"Around 18 February 2020, people and theater workers protested in Oberhausen against the closure of the musical theater."
ESP20591,public services,,public services,"On 6 April 2025, at the call of the Platform in Defense of the Leon Narrow Gauge Railway (Plataforma en Defensa del Ferrocarril de Via Estrecha de Leon), around 3,000 people, including PP members of the regional parliament, from the Provincial Council and the City Council, as well as UPL leaders and PSOE representatives, held a protest in Leon (Castilla y Leon) to demand that the Feve train reach Leon's city center, with participants stating they would not accept any other temporary solution such as electric buses."
GBR8067,animal welfare,,animal welfare,"On 26 December 2024, anti-hunting campaigners staged a protest in Leominster (England) against the annual Boxing Day hunt parade. Protesters held a sign that read 'Enforce the hunt ban'."
POL2411,policies & politics,unjust law enforcement,policies & politics,"On 22 April 2021, activists gathered for a rally in Krakow, protesting against a recent detention of a prominent activists during a demonstration in Warsaw and demanding her immediate release."
DEU6165,policies & politics,,pandemic,"On 18 April 2021, around 70 members of the NPD protested in Dresden for an Antifa ban. People gathered for a counterprotest."
NLD4060,education,,education,"On 8 June 2021, about 70 school children and their parents protested in Made (Noord-Brabant) against overcrowded classes."
GBR2295,labor rights,,policies & politics,"On 3 December 2020, hundreds of staff from the Newry, Mourne and Down District Council went on strike and picketed against pay conditions outside council offices in Newry. They were represented by the unions Unite the Union, GMB, Nipsa and SIPTU."
ITA17653,labor rights,,labor rights,"On 8 November 2022, job placement advisors (dubbed 'navigators') gathered in front of the Ministry of Labor and Social Policies in Rome - City Center (Roma, Lazio) to demand guarantees for their category's future."
SWE1330,policies & politics,,policies & politics,"On 3 May 2021, Belarusians gathered at Gustav Adolf Square in Gothenburg (Goteborg) to demand a cessation of all economic relations with the government of Belarus due to its oppressive policies."
GBR3135,culture,environment,environment,"On 14 June 2021, people protested outside the Redruth Town Council office in Redruth against a controversial planning application to build a property at Radnor due to its proximity to Wheal Peevor mine, a World Heritage Site."
ITA22085,health care,,culture,"On 5 February 2024, around 100 people marched from Torre Annunziata (Campania) to Pompei (Campania) archaeological site to protest against the closed emergency room in Boscotrecase."
ESP14983,policies & politics,,policies & politics,"On 23 November 2023, hundreds of people held a protest in Madrid - Centro (Madrid) as part of an ongoing protest against the deal that Spain's PSOE Prime Minister, Pedro Sanchez, sealed with JuntsXCat and ERC, which also includes an amnesty pact. 4 people were detained by police officers for public disorder."
SRB1386,environment,,environment,"On 5 February 2020, a protest was held in Subotica, Serbia, demanding better measures against air pollution."
ITA10942,public services,environment,public services,"On 8 September 2021, in the evening, about 50 Priabonese and Leogra dwellers took part in a torchlight procession in Cornedo Vicentino (Vicenza, Veneto) to protest against the alleged inconveniences (noise, dust and traffic) created by the construction of a tunnel between Malo and Vallugana as part of the Superstrada Pedemontana Veneta (SPV) regional motorway."
ITA16435,labor rights,,labor rights,"On 19 July 2022, Mirafiori Motor Village workers, with the support of the FIOM CGIL branch, staged a demonstration outside their factory in Torino (Torino, Piemonte) to protest against their 'unsustainable workload'."
ESP9619,education,policies & politics,education,"On 23 March 2022, citizens gathered in Palma de Mallorca (Balearic Islands) to defend the actual Catalan school model based on the linguistic immersion principle. They called the protest following a Court's decision to expand the percentage (25 per cent) of lessons taught in the Spanish language."
DEU21222,labor rights,,labor rights,"On 1 May 2024, on the occasion of International Workers' Day, at the call of DGB, around 650 people gathered in Hamburg - Harburg (Hamburg), to protest for 'More pay, more leisure time, more security.' The event aimed to draw attention to workers' rights and achievements, emphasizing solidarity and the ongoing need for improvement in areas such as wage losses and the expansion of collective bargaining agreements. Another group protested separately in Bergedorf (coded separately)."
GRC4743,environment,public services,public services,"On 11 November 2023, residents of Exarchia, Athens - Central Athens, rallied in Exarchia square to protest against the cutting of trees during construction work for a new metro station."
FRA31561,labor rights,public services,public services,"On 4 March 2024, at the call of FNAT - National Federation of Taxi Craftsmen, taxi drivers drove at a slow pace to demonstrate on the bypass road in Rennes (Bretagne) to protest against new regulations on the transport of people in need of medical assistance."
SWE1468,housing,,housing,"On 4 June 2021, demonstrators gathered in Lulea to oppose the residential tenancy policy proposed by the government that would allow landlords to use free market pricing for rental apartments."
ESP18294,education,,education,"On 11 October 2024, students, at the nationwide call of SE, held a protest in Cordoba (Andalucia) to denounce the lack of transparency of the newly implemented college entrance exam and demand more information about the examination model. The protest was followed by a strike."
DEU22891,education,,education,"On 31 October 2024, around 40 students from Dortmund, Bochum, Paderborn, and Bielefeld gathered in front of the regional church office in Bielefeld (Nordrhein-Westfalen) to protest against planned budget cuts by the Evangelical Church of Westphalia and to urge the church to reconsider its decision to reduce funding for student congregations from one million euros to 500,000 euros, amidst broader budget cuts of 8.8 million euros."
ESP395,women rights,,women rights,"On 8 March 2020, around 3000 citizens marched in Ponferrada to protest gender violence and inequality on International Women's Day."
MDA1379,policies & politics,,policies & politics,"On 17 October 2022, SOR members and supporters protested in Chisinau - Buiucani, demanding the resignation of the PAS government over energy prices and price inflation."
CYP1071,policies & politics,,policies & politics,"On 2 April 2022, members of TDP supported by TKP and YKP continued their sit-in action outside parliament in northern Nicosia, which they started the previous day during the mass demonstration over price hikes and against the government's policies."
DEU6622,policies & politics,,discrimination,"On 8 May 2021, around 250 people gathered in Mannheim to commemorate the end of the Second World War and the liberation from the Nazi regime. The protesters called for 8 May to be delcared a national holiday. The protest was organized by the VVN-BdA and attended by the Antifa."
ITA559,policies & politics,,public services,"On 8 February 2020, 30 ALIUD activists took part in a march in the centre of Torino to remember the foibe massacres and demand better acknowledgement of the historical sequence from public authorities. In sign of protest, 50 activists from a left-wing autonomous social centre simultaneously staged a bike ride through the city, calling for 'kicking out fascists from the district'. The presence of police forces reportedly prevented any form of interaction or violence."
DEU23622,policies & politics,,pandemic,"On 30 January 2025, under the motto 'End violence - For a safe coexistence,' around 50 people gathered in Schwerte (Nordrhein-Westfalen) in response to a knife attack that had occurred a week earlier. Participants expressed their concerns about rising violence and protested for the need for greater safety."
FRA34687,policies & politics,labor rights,labor rights,"On 5 July 2024, around 50 lawyers rallied in front of the courthouse in Pontoise in Paris (Ile-de-France) to express solidarity with fellow lawyers after a far-right website published a 'list of lawyers to eliminate.'"
FRA34682,policies & politics,labor rights,labor rights,"On 5 July 2024, around 30 lawyers rallied at the courthouse in Le Mans (Pays de la Loire) to express solidarity with fellow lawyers after a far-right website published a 'list of lawyers to eliminate.'"
CYP739,public services,,public services,"On 22 May 2021, business owners based on a main road in Limassol, and other protesters, rallied claiming that a new road dividing island caused a series of problems and demanding its removal."
GBR8215,policies & politics,,animal welfare,"On 5 February 2025, in the afternoon, at the call of JNIV, veterans of The Troubles marched through the city center and gathered at Whitehall in London - Westminster (England) to protest Labour's plans to repeal the Legacy Act. The act granted immunity from inquests and civil actions to British military personnel who served during the Northern Ireland conflict."
EST354,policies & politics,,pandemic,"On 19 October 2023, a group of motorcyclists protested in front of Riigikogu in Tallinn, Estonia, calling against the new car tax."
BEL2902,public services,,public services,"On 20 December 2023, dozens of residents protested at the railway crossing in Menen (Vlaanderen) against its partial closure to cars."
POL2375,policies & politics,,policies & politics,"On 1 April 2021, activists affiliated with the KOD movement gathered for a rally in Gdynia, protesting against alleged harmful pressure of the government over courts."
ESP17952,policies & politics,,policies & politics,"On 17 August 2024, people, including Venezuelan nationals and members of the Venezuelan community, held a protest in Girona (Cataluna) to express their discontent with the results of the 2024 Venezuelan presidential elections and denounce what they believe to be a 'fraudulent' election process, upon which incumbent president Nicolas Maduro was declared the winner with 51.2% of the vote."
GBR7537,health care,public services,policies & politics,"On 20 June 2024, people staged a protest outside the Guildhall in Kingston upon Hull (England), calling on the council to 'reinstate funding' for Endike Community Care, which supported people with dementia at the time of reporting."
ESP5313,labor rights,,public services,"On 13 May 2021, around 300 workers of the Airbus aeronautical industries protested in Cadiz, demanding the aviation sector's continuity in the province and against the plant's possible closure."
ESP14651,policies & politics,,policies & politics,"On 6 November 2023, around 350 people held a protest in front of the PSC headquarters in Barcelona - L'Eixample (Cataluna) to voice their opposition to the deal that Spain's PSOE acting prime minister, Pedro Sanchez, sealed with JuntsXCat and ERC, which also includes an amnesty pact, in the hopes of securing an additional term."
BEL3617,housing,policies & politics,housing,"On 10 October 2024, workers from the homeless support sector in Wallonia gathered in Namur (Wallonie), to protest against the increasing inequalities and extreme poverty exacerbated by neoliberal policies. They highlighted the diverse profiles affected by homelessness and inadequate housing, stressing the urgent need for public awareness and action."
BEL2011,discrimination,blm,blm,"Around 28 August 2022 (weekend of), an unknown number of people staged a protest in Ath in the context of the yearly Ducasse parade, during which a blackface figure is used to enact a 'savage' enslaved black man, against the continuous use of stereotypical and racist images in folkloric events."
FRA14136,labor rights,public services,public services,"On 7 January 2022, around 50 persons, including members of the CGT, demonstrated in front of the train station in Guingamp. They denounced the project to cut of two to three positions."
MDA486,policies & politics,,policies & politics,"On 10 February 2020, a protest was held by war veterans outside the Foreign Affairs Ministry of Moldova. The protesters demanded the resignation of the Foreign Minister over a statement on the 1992 war."
DEU11900,environment,public services,public services,"On 14 March 2022, around 40 parents and children demonstrated in Irschenberg against the construction of a gravel pit in Oberhasling. Demonstrators denounced the danger of increased traffic caused by the expected gravel trucks."
DEU17570,labor rights,environment,environment,"On 19 October 2023, around 6,000 people, including many workers of the metal industry and representatives of IGM, protested in Dillingen/Saar (Saarlouis, Saarland) for the future of their jobs and the pledge of subsidies for the climate-friendly conversion of the Saarland steel industry."
ESP1758,environment,,environment,"On 14 September 2020, a group of local residents gathered in Galleguillos (Salamanca) to protest against the establishment of a composting plant close to town."
DEU6354,pandemic,policies & politics,pandemic,"On 26 April 2021, up to 70 people protested in Grossenhain with the slogan 'Watch Shooting Stars'. The exact reason for the protest was not reported."
ITA8289,unjust law enforcement,,health care,"On 23 April 2021, No TAV Movement activists gathered in Pisa (Pisa, Toscana) to protest against police violence. The event was organized in response to the hospitalization of a fellow activist after being hit in the eye by a smoke grenade during clashes with the police over the clearing of an area in the Susa Valley to build a transport hub for the Turin-Lyon high-speed railway."
GBR3820,environment,,environment,"On 3 November 2021, Ocean Rebellion climate activists and other campaigners demonstrated outside Bute House in Edinburgh, demanding an end to destructive fishing methods to protect the oceans. They projected slogans in English and French on the facade of the building to express their demands."
SRB2523,public services,,public services,"On 2 January 2023, several hundred citizens gathered in Kragujevac, condemning the recent event in which a 13-year-old girl lost her life due to reckless driving and a lack of local government's mechanisms to prevent such occurrences."
FRA15355,labor rights,,labor rights,"On 17 February 2022, around 50 prison guards blocked the access to the prison of Metz, at the call of 3 unions (UNSA, CGT and SPS). They called for an increase of their salaries and denounced a 4 years extension of retirement age."
MNE1058,labor rights,,labor rights,"On 8 July 2022, Niksic Ironworks workers protested in front of the government building in Podgorica, demanding the withdrawal of the dismissals for 229 workers and that the Turkish owner of the company continues paying their salaries."
